,name,address,price,rating,amenities
0,Collection O 77042 Tetrad Hotel (Kanaka Grand),"Hebbal, Bangalore",₹1286,(867 Ratings),"Parking Facility, Elevator, Power backup"
1,OYO 78266 Collection O Sathyajyothi Comforts,"Girinagar, Bangalore",₹1014,(290 Ratings),"Reception, Free Wifi, Power backup"
2,SPOT ON 75564 Manyata Deluxe,"Near manyata tech park, Nagavara, Bangalore",₹811,(2293 Ratings),"TV, AC, Reception"
3,OYO 9605 Hotel Golden Inn,"Centrally Located, Near HKP Road, Shivaji Nagar, Bangalore",₹845,(643 Ratings),"Elevator, Free Wifi, Geyser"
4,Capital O 28398 Mysore Gate,"Near Nalanda Theater, Mysore Road, Bangalore",₹1286,(449 Ratings),"Reception, Security, 24/7 Checkin"
5,OYO 78888 Elite Stays JP Nagar New,"JP Nagar 6th Phase, Bangalore",₹944,(613 Ratings),"Private Entrance, Elevator, Free Wifi"
6,Capital O 5683 SS Suites,"Near Big Bazar, Bannerghatta Road, Bangalore",₹1736,(693 Ratings),
7,Capital O 47538 Prime Residency,"Near Perseverance HBR, Saint Thomas Town, Bangalore",₹1228,(2112 Ratings),"Hair Dryer, Parking Facility, Reception"
8,Capital O 49646 Hotel Champion Paradise,"Near V.E.T School, J.P. Nagar, Bangalore",₹1321,(1017 Ratings),"Parking Facility, Reception, Free Wifi"
9,SPOT ON 72596 Royal Regency ,"Centrally Located, Near Movieland Theatre, RK Puram, Bangalore",₹1014,(596 Ratings),"TV, Parking Facility, AC"
10,Capital O 74658 Nandhana Vistaa,"Near manyata tech park, Kammanahalli, Bangalore",₹1318,(1150 Ratings),"Reception, Power backup, TV"
11,SPOT ON 36102 Akshara Regency,"Near ADB Building, Gokula 1st Stage, Bangalore",₹674,(1181 Ratings),"Reception, Queen Sized Bed, Geyser"
12,Capital O 11927 Varcity Imperium,"Near Sulthangunta, Shivaji Nagar, Bangalore ",₹1380,(379 Ratings),"Free Wifi, Power backup, Card Payment"
13,OYO 13941 NR Suites,"Near Central Silk board, BTM Layout, Bangalore",₹860,,"Hair Dryer, Free Wifi, Power backup"
14,OYO Townhouse 364 Richmond Road,"Near Baldwin Women College, Richmond Town, Bengaluru",₹1216,(1408 Ratings),"Reception, Free Wifi, Power backup"
15,Capital O 78988 Smile Hotel ,", Bangalore",₹1541,(45 Ratings),"Reception, Public Washroom, Caretaker"
16,OYO 6790 Hotel subha Residency,"Bangalore, Bangalore",₹770,(3 Ratings),"TV, Geyser, CCTV Cameras"
17,Capital O 37517 Withinn Hotel,"Near NIAS, Mathikere Extension, Bangalore",₹1241,(807 Ratings),"Parking Facility, Reception, Free Wifi"
18,Capital O 12543 3 Square,"Next to Cafe Coffee Day, HBR Layout, Bangalore",₹1371,(902 Ratings),"Elevator, Free Wifi, Geyser"
19,Capital O 74788 Hotel Nandhana Pride ,"Near Manyata Tech Park, Byatarayanapura, Bangalore",₹1162,(307 Ratings),"Parking Facility, Reception, Free Wifi"
20,OYO 378 Aira Apartments,"HAL Airport Road, Kodihalli Extension, Bangalore",₹1554,(2 Ratings),"Elevator, Parking Facility, Free Wifi"
21,Capital O 70534 Habitat Suites And Rooms ,"Near Yeshwantpur Station, Bangalore",₹1498,(362 Ratings),"Free Wifi, Power backup, AC"
22,OYO 66437 Champion Grand,"Near Polar Bear, Nagarbhavi, Bangalore",₹1966,(403 Ratings),"Reception, Free Wifi, Power backup"
23,SPOT ON 71449 Ssr Lodging And Boarding,"Near Jumma masjid, Shivaji Nagar, Bangalore",₹1014,(298 Ratings),"Reception, Free Wifi, Power backup"
24,OYO 8501 Abhimaani Comforts,Kanakpura main road metro pillar number 45 nearby Banashankari metro station JP Nagar,₹1013,(921 Ratings),"Parking Facility, Elevator, Free Wifi"
25,Collection O 30012 Near Malleswaram,"Near Malleswaram, Bangalore",₹2392,(197 Ratings),"Reception, Free Wifi, Power backup"
26,Capital O 36137 Vihaari 24 Business Hotel,"Near HRBR Layout, Kalyan Nagar, Bengaluru",₹1775,(528 Ratings),"Hair Dryer, Parking Facility, Reception"
27,CAPITAL O75134 Kings Suits,"Near Itsy Bitsy, Sector 3, Bangalore",₹1340,(625 Ratings),"Parking Facility, Reception, Free Wifi"
28,OYO 72492 A K Residency,"Centrally Located, Near S T Bed, Koramangala 1st Block, Bangalore",₹1216,,"Reception, AC, Daily Housekeeping"
29,Collection O 81254 Gt Hotel,"2nd Phase Mathikere, Bangalore",₹1289,,"Reception, Free Wifi, Power backup"
30,Capital O 36457 Boulevard Madiwala,"BTM Layout, Bangalore",₹1300,(1382 Ratings),"Private Entrance, Reception, Free Wifi"
31,OYO 26900 Royal Inn,"Near 14th Main Road, Rajaji Nagar, Bangalore",₹1054,,"Reception, Free Wifi, Power backup"
32,OYO 12083 Hotel Champion Inn,"Near Chandan Bar, Mathikere, Bangalore",₹1139,(719 Ratings),AC
33,Capital O 5379 The Roy Grand Inns,"Near AVS Layout, Koramangala, Bangalore",₹1013,(185 Ratings),"Reception, Free Wifi, Power backup"
34,OYO 9991 Sai Ram Residency,"Cubbonpet Main Road, Bangalore",₹1013,(88 Ratings),"Elevator, Free Wifi, Power backup"
35,OYO 18338 White Fort,"Dispensary Rd, Kalasipalya,Bangalore",₹715,(704 Ratings),"Parking Facility, Free Wifi, Power backup"
36,OYO 76298 Prime Suites,"Near Hatti Kappi, Yellappa Garden, Bangalore",₹1632,(322 Ratings),"Free Wifi, Power backup, Card Payment"
37,OYO Townhouse 042 Urvashi Theatre,"Near Lalbagh, Doddamavalli, Bangalore",₹1292,(641 Ratings),"Reception, Free Wifi, Power backup"
38,OYO 8116 Park Inn,"Near Empire Restaurant Indiranagar , Close to BSNL Indiranagar office .",₹1245,(121 Ratings),"Elevator, Free Wifi, Geyser"
39,OYO 69693 The Royal Park ,"Near OYE Amritsar, New Tippasandra, Banglore",₹1405,(287 Ratings),AC
40,Capital O 68975 The Blueberry's,"Near Forum Mall, 4th Cross Rd, Bangalore",₹1240,(578 Ratings),"Reception, Free Wifi, Daily Housekeeping"
41,Collection O Supralisa,"Halasuru, Bangalore",₹1528,,"Elevator, Free Wifi, Power backup"
42,OYO Townhouse 273 Hosur Main Road Bommanahalli,"Near krishna Theature Bommanahalli, Hosur main road, Bangalore",₹1462,(3412 Ratings),"Parking Facility, Reception, Free Wifi"
43,Capital O 61546 Silver Key Suites,"Near Mra Bakery, Nanjundappa Rd, Bangalore",₹1497,(480 Ratings),"AC, AC, TV"
44,OYO 10821 Sree Balaji Residency,"Agrahara Dasarahalli, Rajaji Nagar, Bangalore",₹1442,(692 Ratings),"Elevator, Free Wifi, Geyser"
45,OYO 6825 New Crescent Citadel,"Near Kemp Fort Mall, Murugeshpalya, Bangalore",₹1329,(382 Ratings),"AC, Queen Sized Bed"
46,Capital O 74657 Nandhana Regent,"Near Koramangala Rto, Bda Complex, Bangalore",₹1142,(574 Ratings),"Cot, AC, Bedside Table / Desk"
47,SPOT ON 47801 S.G Comforts,"Near State Bank Of India, M S K Nagar, Bangalore",₹1014,(44 Ratings),"Twin Single Bed, Reception, Power backup"
48,OYO 45125 Banashankari Comforts,"Near CBI Office, Ganganagar, Bangalore",₹1564,(191 Ratings),"Power backup, 24/7 Checkin, AC"
49,OYO Townhouse 238 Ulssor,"Halasuru, Bangalore",₹1612,(759 Ratings),"Doctor on Call, Reception, Public Washroom"
50,OYO 2318 Hotel Tiara,"Lexington Towers, 63 St.Johns Woods Apts & Oracle, Tavarekere Main Rd",₹1014,(25 Ratings),"Parking Facility, Reception, Free Wifi"
51,OYO 9251 NAR Comforts,"NAR Comforts,13, G.K temple street, opp. Vijayalaxmi theater, Chickpet, Bangalore",₹1495,(498 Ratings),"Parking Facility, Elevator, Free Wifi"
52,Capital O 11092 Shiv Enclave,"Near Nagavara, Ashwath Nagar, Bangalore",₹1491,(223 Ratings),"TV, AC, Wheelchair Accessible"
53,OYO 23032 Hotel Mayur Paradise,"Near Shamaro Vittal Co-Operative Bank, Bangalore",₹1014,(467 Ratings),"Parking Facility, Reception, Free Wifi"
54,SPOT ON 65593 Yatra Inn,"Near Majestic Railway station, Lalbagh, Bangalore",₹610,(1464 Ratings),"Reception, CCTV Cameras, Power backup"
55,OYO 63230 Exotica Hotels,"Near Jayadeva Flyover, BTM Layout, Bangalore",₹1013,(740 Ratings),"Private Entrance, Reception, Free Wifi"
56,OYO Townhouse 049 HSR Layout,"Near HSR Club, Kadalda Meen, Bangalore",₹1504,(1538 Ratings),"Free Wifi, Power backup, CCTV Cameras"
